id;start_date;end_date;language
1;2019-11-20T15:47:09;2019-11-20T08:55:26;FRENCH
2;2019-11-20T02:23:24;2019-11-20T15:09:05;ENGLISH
3;2019-11-20T01:49:51;2019-11-20T03:46:11;FRENCH
4;2019-11-20T13:35:41;2019-11-20T05:57:20;ENGLISH
5;2019-11-20T16:45:16;2019-11-20T17:20:13;FRENCH
6;2019-11-19T23:00:34;2019-11-19T20:01:56;SPANISH
7;2019-11-20T08:10:37;2019-11-20T11:13:44;ENGLISH
8;2019-11-20T09:58:34;2019-11-20T18:23:13;FRENCH
9;2019-11-20T10:32:59;2019-11-20T19:10:22;ENGLISH
10;2019-11-20T03:43:54;2019-11-20T03:07:31;SPANISH
