id;title;description;image;image_content_type;height;width;taken;uploaded
1;Yuan Renminbi Centers;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;1326;94888;2019-11-20T14:39:23;2019-11-20T14:05:39
2;cross-platform access;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;9767;23089;2019-11-20T20:50:52;2019-11-21T07:29:04
3;Bahamian Dollar Investment Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;83319;3438;2019-11-21T09:06:30;2019-11-20T15:26:44
4;Digitized invoice;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;31171;42515;2019-11-21T00:47:15;2019-11-21T08:16:43
5;Georgia Industrial;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;84228;77513;2019-11-21T02:28:30;2019-11-20T14:43:17
6;Chief Credit Card Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;92187;32654;2019-11-21T11:08:43;2019-11-20T23:34:43
7;Aruba;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;96117;32533;2019-11-20T17:00:02;2019-11-21T03:56:27
8;interactive generating compelling;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;28093;60703;2019-11-21T00:14:40;2019-11-21T06:38:43
9;scalable;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;16526;7455;2019-11-21T12:53:38;2019-11-20T13:35:03
10;index orange;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;552;1407;2019-11-20T17:41:54;2019-11-21T08:29:49
